LATITUDE,LONGITUDE,DATE
38.91166667,-105.45166667,1998-06-25
37.94666667,-105.00833333,1998-06-29
37.09694444,-106.97166667,1998-09-03
37.56666667,-108.44,1998-07-23
37.52333333,-108.38666667,1998-07-21
39.10666667,-107.97166667,1998-07-03
37.10666667,-106.88666667,1998-10-15
37.49694444,-108.58305556,1998-06-22
37.135,-106.94,1998-07-13
37.58166667,-108.45833333,1998-07-16
37.17666667,-107.40833333,1998-07-16
37.55166667,-108.38666667,1998-07-18
37.25666667,-106.92166667,1998-07-19
37.13333333,-106.905,1998-08-31
37.305,-107.17,1998-08-31
37.19277778,-106.85138889,1998-09-14
40.46666667,-106.75,1998-09-24
39.35,-106.56666667,1998-09-26
40.705,-105.28833333,1998-02-28
39.6,-105.53833333,1998-06-28
40.8,-104.455,1998-06-26
40.50333333,-105.31666667,1998-09-09
40.39833333,-105.28666667,1998-09-09
39.135,-105.23,1998-05-17
37.18166667,-102.34833333,1998-06-30
37.95166667,-106.44,1998-06-02
38.38861111,-109.05472222,1999-06-01
37.30194444,-106.28472222,1999-06-24
37.78472222,-107.18472222,1999-05-08
37.90138889,-106.38583333,1999-03-03
37.27222222,-103.22305556,1999-03-16
37.185,-102.82388889,1999-03-15
39.10694444,-105.32166667,1999-03-31
39.44055556,-105.59833333,1999-03-31
39.13527778,-105.32333333,1999-07-07
39.0925,-105.08083333,1999-03-03
39.17861111,-105.37916667,1999-12-30
39.16888889,-105.51805556,1999-03-29
38.98583333,-105.33416667,1999-11-03
38.80138889,-105.66833333,1999-11-14
38.03333333,-108.36666667,1999-06-16
38.23388889,-106.60194444,1999-06-23
38.36722222,-108.41694444,1999-06-28
39.71666667,-107.56666667,1999-10-10
39.30666667,-107.98,1999-11-15
39.63166667,-106.25833333,1999-10-04
39.58833333,-106.03333333,1999-05-20
39.67333333,-107.53166667,1999-10-14
39.95,-107.11833333,1999-11-15
39.64944444,-106.39,1999-10-09
39.805,-106.27777778,2000-07-24
39.70583333,-107.155,2000-08-15
37.15527778,-107.40805556,1999-05-22
37.31138889,-107.57138889,1999-03-15
39.33611111,-108.03888889,2000-08-23
40.27,-105.38555556,1999-07-10
40.60444444,-105.54583333,1999-07-13
40.71972222,-105.25777778,1999-08-27
40.15138889,-105.41861111,1999-05-22
40.63472222,-104.48694444,1999-03-12
40.71944444,-104.48833333,1999-11-07
40.44527778,-105.31638889,2000-01-23
40.6475,-105.35416667,2000-05-29
40.44527778,-105.33527778,2000-06-12
40.90833333,-105.69583333,2000-06-07
40.73416667,-105.29583333,2000-07-11
40.80666667,-105.46722222,2000-07-18
40.90833333,-105.41,2000-07-27
40.01833333,-105.45222222,2000-07-31
40.6625,-105.28055556,2000-08-04
40.82138889,-105.69583333,2000-08-08
40.83583333,-105.44805556,2000-08-13
40.72555556,-105.25361111,2000-08-27
40.25277778,-105.96138889,2000-09-15
39.70527778,-107.29388889,2000-07-23
37.14888889,-106.98,2000-05-14
37.52916667,-108.41944444,2000-06-01
37.33638889,-107.94694444,2000-06-18
37.88111111,-108.77416667,2000-06-22
37.35055556,-107.97916667,2000-07-04
37.24388889,-107.27555556,2000-07-16
37.64166667,-108.67,2000-07-18
37.47666667,-107.55166667,2000-07-19
37.58583333,-107.76722222,2000-07-21
37.20222222,-107.39916667,2000-07-27
37.37277778,-106.75027778,2000-08-03
37.145,-107.32722222,2000-08-03
37.12916667,-106.9025,2000-09-10
37.09638889,-106.97,2000-09-22
37.88055556,-108.74777778,2000-09-25
37.14833333,-107.42,2000-08-29
37.175,-107.12305556,2000-09-22
37.12333333,-106.97388889,2000-05-24
37.16083333,-107.39194444,2000-07-27
37.75583333,-108.70222222,2000-08-03
37.16833333,-106.97111111,2000-08-14
37.46666667,-105.12555556,2000-08-25
37.20833333,-103.09166667,2000-04-04
37.19583333,-102.83055556,2000-04-02
37.16388889,-102.96944444,2000-04-24
39.40527778,-105.45333333,2000-02-09
39.33805556,-105.30472222,2000-05-28
39.22222222,-105.13694444,2000-07-12
38.90444444,-105.00694444,2000-08-08
39.17861111,-105.30472222,2000-10-17
39.07805556,-105.22916667,2000-05-28
39.13527778,-105.0625,2000-07-27
38.89,-105.04388889,2000-08-08
39.19333333,-104.95083333,2000-08-07
39.14972222,-105.2675,2000-04-25
39.28,-105.24888889,2000-06-06
39.0925,-105.34027778,2000-05-29
39.20777778,-104.96944444,2000-06-11
39.17861111,-104.95083333,2000-08-24
39.0925,-105.32166667,2000-07-25
37.81305556,-103.77944444,2000-06-09
37.76944444,-103.98,2000-06-23
37.01,-102.55194444,2000-07-05
37.59472222,-103.63333333,2000-08-15
37.27222222,-103.05972222,2000-09-07
39.41166667,-105.39472222,2000-06-12
37.37416667,-102.67888889,2000-10-03
37.69666667,-103.94361111,2000-07-24
37.64138889,-106.35666667,2000-03-13
37.64138889,-106.35666667,2000-05-22
37.90722222,-106.52527778,2000-06-16
37.80138889,-106.39333333,2000-07-06
37.65583333,-106.50555556,2000-07-14
37.64138889,-106.64944444,2000-07-14
37.64138889,-106.64944444,2000-07-22
38.42083333,-109.02583333,2000-10-02
38.46638889,-109.04583333,2000-08-06
38.44972222,-109.01444444,2000-08-16
38.04111111,-107.68527778,2000-07-30
38.56527778,-108.34805556,2000-09-22
38.57861111,-108.53472222,2000-05-29
38.46444444,-106.45027778,2000-07-06
38.63333333,-108.46666667,2000-08-03
38.40166667,-108.44972222,2000-08-12
37.61694444,-107.71444444,2001-06-21
37.52472222,-107.80666667,2001-05-01
37.47083333,-107.85277778,2001-06-08
37.33638889,-108.51333333,2001-07-17
37.53555556,-108.39138889,2001-07-16
37.61694444,-107.71527778,2001-06-10
37.645,-108.48388889,2001-07-10
37.48,-108.32777778,2001-09-09
37.53861111,-107.12361111,2001-07-21
